Order_ID,Customer_ID,Store_ID,Date,Product_Category,Price,Quantity,Total_Sales
1,1102,43,2023-01-01,Food,78.95,7,552.65
2,1435,1,2023-01-02,Clothing,257.44,5,1287.2
3,1860,45,2023-01-03,Electronics,232.99,7,1630.93
4,1270,24,2023-01-04,Clothing,450.88,9,4057.92
5,1106,35,2023-01-05,Sports,465.35,5,2326.75
6,1071,24,2023-01-06,Home,194.87,2,389.74
7,1700,17,2023-01-07,Sports,248.41,5,1242.05
8,1020,5,2023-01-08,Home,448.64,8,3589.12
9,1614,20,2023-01-09,Home,404.32,4,1617.28
10,1121,21,2023-01-10,Sports,6.81,2,13.62
11,1466,40,2023-01-11,Sports,163.43,3,490.29
12,1214,31,2023-01-12,Clothing,213.78,9,1924.02
13,1330,46,2023-01-13,Sports,118.71,9,1068.39
14,1458,36,2023-01-14,Clothing,103.79,8,830.32
15,1087,11,2023-01-15,Clothing,23.7,8,189.6
16,1372,15,2023-01-16,Clothing,323.47,8,2587.76
17,1099,19,2023-01-17,Home,134.94,8,1079.52
18,1871,7,2023-01-18,Home,30.91,8,247.28
19,1663,28,2023-01-19,Sports,119.33,1,119.33
20,1130,43,2023-01-20,Home,401.95,6,2411.7
21,1661,5,2023-01-21,Sports,426.49,9,3838.41
22,1308,5,2023-01-22,Home,244.12,8,1952.96
23,1769,30,2023-01-23,Electronics,210.95,3,632.85
24,1343,32,2023-01-24,Electronics,489.04,1,489.04
25,1491,8,2023-01-25,Sports,104.28,2,208.56
26,1413,10,2023-01-26,Home,111.6,2,223.2
27,1805,38,2023-01-27,Home,149.47,7,1046.29
28,1385,47,2023-01-28,Clothing,90.51,6,543.06
29,1191,32,2023-01-29,Food,192.79,2,385.58
30,1955,48,2023-01-30,Sports,455.86,8,3646.88
31,1276,28,2023-01-31,Food,309.6,9,2786.4
32,1160,17,2023-02-01,Food,208.91,7,1462.37
33,1459,31,2023-02-02,Sports,467.53,4,1870.12
34,1313,8,2023-02-03,Home,28.99,1,28.99
35,1021,40,2023-02-04,Sports,109.09,4,436.36
36,1252,25,2023-02-05,Food,285.11,4,1140.44
37,1747,9,2023-02-06,Home,309.7,8,2477.6
38,1856,2,2023-02-07,Electronics,24.58,4,98.32
39,1560,15,2023-02-08,Sports,204.5,4,818.0
40,1474,3,2023-02-09,Sports,326.33,2,652.66
41,1058,49,2023-02-10,Home,350.54,7,2453.78
42,1510,36,2023-02-11,Electronics,320.88,4,1283.52
43,1681,4,2023-02-12,Electronics,163.68,6,982.08
44,1475,14,2023-02-13,Home,51.29,3,153.87
45,1699,41,2023-02-14,Clothing,216.42,7,1514.94
46,1975,41,2023-02-15,Sports,68.73,6,412.38
47,1782,25,2023-02-16,Sports,474.07,3,1422.21
48,1189,10,2023-02-17,Food,240.21,4,960.84
49,1957,21,2023-02-18,Home,162.04,5,810.2
50,1686,36,2023-02-19,Food,384.32,9,3458.88
51,1957,12,2023-02-20,Food,251.48,6,1508.88
52,1562,27,2023-02-21,Electronics,158.47,4,633.88
53,1875,40,2023-02-22,Sports,406.92,7,2848.44
54,1566,2,2023-02-23,Food,434.24,2,868.48
